"ProjectID","Date","Country","Project Title","Sector","Public/Private","Status","CostRONm","CostTLm","CostPLNm","CostRUBm","CostUSDm","CostEURm","Cost","URL","CostCurrEURm"
"44335",2013-05-14,"Poland","Pawlowo Wind Farm","Power and energy","Private","S",NA,NA,NA,NA,NA,195,"The total project cost, including financial costs, is estimated at approximately €195 million.","http://www.ebrd.com/english/pages/project/psd/2013/44335.shtml",196.178398161546
"44428",2012-10-22,"Romania","EDPR Solar","Power and energy","Private","S",NA,NA,NA,NA,NA,89.9,"The total project cost is approximately EUR 89.9 million (excl. value added tax).","http://www.ebrd.com/english/pages/project/psd/2012/44428.shtml",91.0477251306658
"44527",2013-02-18,"Poland","ENERGA smart grid","Power and energy","Public","S",NA,NA,NA,NA,NA,1200,"PLN 5.2 billion (EUR 1.2 billion)./p>","http://www.ebrd.com/english/pages/project/psd/2013/44527.shtml",1221.81066413989
"44571",2013-01-17,"Kazakhstan","CAEPCO Energy Efficiency Project","Power and energy","Private","S",NA,NA,NA,NA,NA,500,"The Bank’s financing will contribute to the implementation of CAEPCO’s mid-term investment program estimated to cost approximately EUR 500m.","http://www.ebrd.com/english/pages/project/psd/2013/44571.shtml",510.936284256938
"44601",2013-06-14,"Romania","Land Power Wind Farm","Power and energy","Private","S",NA,NA,NA,NA,NA,137.9,"EUR 137.9 million.","http://www.ebrd.com/english/pages/project/psd/2013/44601.shtml",138.59178641272
"44732",2013-04-26,"Romania","Oltenia - Turceni Rehabilitation","Power and energy","Public","S",NA,NA,NA,NA,NA,266,"Approximately EUR 266 million.","http://www.ebrd.com/english/pages/project/psd/2013/44732.shtml",267.858238200716
"44923",2013-06-27,"Poland","PEPSA Wind Portfolio","Power and energy","Private","S",NA,NA,NA,NA,NA,198,"Approx. PLN 840 million (EUR 198 million, incl. VAT).","http://www.ebrd.com/english/pages/project/psd/2013/44923.shtml",198.993282884109
"44967",2013-08-06,"Turkey","Seymenoba Combined Cycle Cogeneration Power Plant","Power and energy","Private","",NA,NA,NA,NA,385,290.053791794115,"US$ 385 million.","http://www.ebrd.com/english/pages/project/psd/2013/44967.shtml",292.678489110466
"44973",2014-06-02,"Jordan","Ma'an Solar Power Project","Power and energy","Private","PFR, PBA",NA,NA,NA,NA,66,48.4474785289584,"USD 66 million.","http://www.ebrd.com/english/pages/project/psd/2014/44973.shtml",48.447479
"44993",2013-06-28,"Russia","INTER RAO Capacity Replacement Loan","Power and energy","Private","S",NA,NA,NA,20000,NA,466.88610313514,"The total Project’s cost is estimated at RUB 20bn.","http://www.ebrd.com/english/pages/project/psd/2013/44993.shtml",469.228274590596
